,지번주소,위도,경도
0,서울특별시 중구 을지로6가 16-6,37.5695220,127.0059095
1,서울특별시 중구 을지로6가 17-7,37.5689685,127.0066154
2,서울특별시 중구 을지로6가 17-48,37.5694663,127.0080847
3,서울특별시 중구 을지로6가 17-49,37.5694514,127.0071932
4,서울특별시 중구 을지로6가 17-50,37.5694138,127.0059778
5,서울특별시 중구 을지로6가 17-51,37.5693676,127.0061824
6,서울특별시 중구 을지로6가 17-434,37.5693297,127.0077075
7,서울특별시 중구 을지로6가 17-442,37.5695915,127.0078248
8,서울특별시 중구 을지로6가 17-443,37.5695562,127.0089020
9,서울특별시 중구 을지로6가 17-464,37.5694263,127.0065981
10,서울특별시 중구 을지로6가 17-465,37.5693323,127.0066060
11,서울특별시 중구 을지로6가 17-467,37.5692949,127.0069689
12,서울특별시 중구 을지로6가 17-468,37.5693524,127.0087516
13,서울특별시 중구 을지로6가 17-469,37.5693769,127.0087708
14,서울특별시 중구 을지로6가 17-471,37.5686294,127.0071871
15,서울특별시 중구 을지로6가 18-4,37.5676859,127.0050374
16,서울특별시 중구 을지로6가 18-5,37.5668702,127.0045938
17,서울특별시 중구 을지로6가 18-6,37.5685650,127.0096267
18,서울특별시 중구 을지로6가 18-8,37.5675862,127.0049881
19,서울특별시 중구 을지로6가 18-11,37.5677806,127.0087663
20,서울특별시 중구 을지로6가 18-20,37.5669770,127.0081271
21,서울특별시 중구 을지로6가 18-38,37.5673780,127.0076875
22,서울특별시 중구 을지로6가 18-42,37.5674699,127.0077755
23,서울특별시 중구 을지로6가 18-50,37.5675347,127.0078051
24,서울특별시 중구 을지로6가 18-62,37.5669165,127.0062488
25,서울특별시 중구 을지로6가 18-65,37.5666639,127.0064757
26,서울특별시 중구 을지로6가 18-72,37.5668823,127.0065509
27,서울특별시 중구 을지로6가 18-78,37.5663582,127.0075294
28,서울특별시 중구 을지로6가 18-138,37.5692869,127.0099239
29,서울특별시 중구 을지로6가 18-146,37.5694422,127.0099249
30,서울특별시 중구 을지로6가 18-148,37.5689021,127.0099843
31,서울특별시 중구 을지로6가 18-155,37.5688179,127.0100865
32,서울특별시 중구 을지로6가 18-157,37.5687023,127.0101240
33,서울특별시 중구 을지로6가 18-158,37.5687677,127.0100208
34,서울특별시 중구 을지로6가 18-159,37.5686887,127.0099714
35,서울특별시 중구 을지로6가 18-165,37.5685699,127.0101583
36,서울특별시 중구 을지로6가 18-169,37.5683573,127.0095892
37,서울특별시 중구 을지로6가 18-177,37.5693821,127.0099713
38,서울특별시 중구 을지로6가 18-180,37.5691334,127.0100459
39,서울특별시 중구 을지로6가 18-191,37.5685301,127.0092010
40,서울특별시 중구 을지로6가 18-192,37.5685538,127.0092495
41,서울특별시 중구 을지로6가 18-194,37.5695355,127.0099154
42,서울특별시 중구 을지로6가 18-195,37.5688996,127.0101104
43,서울특별시 중구 을지로6가 18-196,37.5664086,127.0079968
44,서울특별시 중구 을지로6가 18-198,37.5672467,127.0086403
45,서울특별시 중구 을지로6가 18-200,37.5676625,127.0049977
46,서울특별시 중구 을지로6가 18-201,37.5671740,127.0046852
47,서울특별시 중구 을지로6가 18-203,37.5696211,127.0095803
48,서울특별시 중구 을지로6가 18-204,37.5695174,127.0096007
49,서울특별시 중구 을지로6가 18-210,37.5691590,127.0094518
50,서울특별시 중구 을지로6가 18-211,37.5692610,127.0081633
51,서울특별시 중구 을지로6가 18-214,37.5696919,127.0095679
52,서울특별시 중구 을지로6가 18-215,37.5684659,127.0102504
53,서울특별시 중구 을지로6가 18-216,37.5666832,127.0044238
54,서울특별시 중구 을지로6가 18-217,37.5666795,127.0044648
55,서울특별시 중구 을지로6가 18-218,37.5674984,127.0073999
56,서울특별시 중구 을지로6가 18-222,37.5672016,127.0077296
57,서울특별시 중구 을지로6가 18-223,37.5666971,127.0068974
