학교종류명,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,경도,위도
각종학교(중),선화예술중학교,서울특별시성동광진교육지원청,4991,서울특별시 광진구 천호대로 664,/ 선화예술중고등학교 (능동),127.087646,37.5504333
초등학교,서울숭신초등학교,서울특별시성동광진교육지원청,4702,서울특별시 성동구 마장로 161,(하왕십리동),127.0278149,37.5676433
중학교,행당중학교,서울특별시성동광진교육지원청,4764,서울특별시 성동구 왕십리로 189,(행당동/행당중학교),127.0422699,37.554408
중학교,한양대학교사범대학부속중학교,서울특별시성동광진교육지원청,4761,서울특별시 성동구 마조로 42,(사근동/한양사대부속중?고등학교),127.0430292,37.5614063
중학교,자양중학교,서울특별시성동광진교육지원청,5069,서울특별시 광진구 뚝섬로41길 33,(자양동/서울자양중학교),127.0745463,37.535329
중학교,용곡중학교,서울특별시성동광진교육지원청,4940,서울특별시 광진구 용마산로22길 76,(중곡동/용곡중학교),127.0889059,37.565932
중학교,옥정중학교,서울특별시성동광진교육지원청,4734,서울특별시 성동구 한림말길 11,/ 옥정중학교 (옥수동),127.012369,37.541502
중학교,양진중학교,서울특별시성동광진교육지원청,4982,서울특별시 광진구 워커힐로 32,/ 양진중학교,127.0981961,37.5445855
중학교,신양중학교,서울특별시성동광진교육지원청,5087,서울특별시 광진구 자양강변길 73,/ 신양중학교 (자양동),127.0631988,37.5334194
중학교,성원중학교,서울특별시성동광진교육지원청,4775,서울특별시 성동구 성덕정9가길 13,(성수동2가/ 성원중학교),127.0520024,37.5392769
중학교,성수중학교,서울특별시성동광진교육지원청,4768,서울특별시 성동구 서울숲길 18,(성수동1가/ 성수중학교),127.038486,37.5476555
중학교,무학중학교,서울특별시성동광진교육지원청,4716,서울특별시 성동구 행당로 120,(행당동),127.032509,37.557419
중학교,마장중학교,서울특별시성동광진교육지원청,4753,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동),127.0421148,37.5682918
중학교,대원국제중학교,서울특별시성동광진교육지원청,4939,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동),127.0891091,37.5631854
중학교,동마중학교,서울특별시성동광진교육지원청,4759,서울특별시 성동구 마조로11길 18,(마장동),127.0402409,37.562591
