기간,시,자치구,동,발생_합계,발생_실화,발생_방화,발생_기타,소실_동수,소실_이재가구수,소실_면적,피해액_합계,피해액_부동산,피해액_동산,재산피해경감액,인명피해_합계,인명피해_사망,인명피해_부상,이재민수,구조인원,입력주소_동,경도,위도,입력주소,X,Y,CLSS
2018,서울특별시,합계,합계,6368,5662,167,539,1033,177,27008,21239984,5478877,15761107,606988371,360,53,307,360,911,합계,123.7417741,32.5220203,합계,646933,1398715,정제실패
2018,서울특별시,종로구,소계,254,219,7,28,20,43,909,574300,279955,294345,12190920,36,14,22,44,60,소계,123.7417741,32.5220203,소계,646933,1398715,정제실패
2018,서울특별시,종로구,사직동,21,16,1,4,0,0,22,20794,4739,16055,3987678,0,0,0,0,0,사직동,126.9659586,37.5754072,사직동,952843,1953026,법정동 좌표
2018,서울특별시,종로구,삼청동,2,2,0,0,0,0,26,42707,40873,1834,119088,1,0,1,0,0,삼청동,126.9810099,37.5907566,삼청동,954181,1954721,법정동 좌표
2018,서울특별시,종로구,부암동,6,6,0,0,0,0,10,8046,3737,4309,302738,0,0,0,0,0,부암동,126.9655888,37.5947672,부암동,952822,1955174,법정동 좌표
2018,서울특별시,종로구,평창동,13,10,0,3,2,0,21,12479,4270,8209,659842,1,0,1,0,0,평창동,128.3902223,37.3707536,평창동,1078823,1930559,시군구 좌표
2018,서울특별시,종로구,무악동,5,3,0,2,0,0,205,34466,3055,31411,610036,0,0,0,0,17,무악동,126.9585763,37.5771084,무악동,952192,1953218,법정동 좌표
2018,서울특별시,종로구,교남동,2,2,0,0,1,0,0,20998,1704,19294,537966,0,0,0,0,0,교남동,126.7316373,37.447357,교남동,932036,1938963,시군구 좌표
2018,서울특별시,종로구,가회동,2,2,0,0,0,0,0,77,0,77,56,0,0,0,0,0,가회동,126.9848449,37.5826803,가회동,954515,1953823,법정동 좌표
2018,서울특별시,종로구,종로1.2.3.4가동,79,71,3,5,5,34,212,188070,76584,111486,2668402,22,8,14,34,30,종로1.2.3.4가동,126.9792345,37.5731711,종로1.2.3.4가동,954014,1952771,시군구 좌표
2018,서울특별시,종로구,종로5·6가동,20,15,2,3,5,0,83,32962,25039,7923,780419,10,6,4,0,9,종로5·6가동,126.9792345,37.5731711,종로5·6가동,954014,1952771,시군구 좌표
2018,서울특별시,종로구,이화동,19,19,0,0,1,0,5,2604,891,1713,123707,0,0,0,0,0,이화동,127.0056365,37.5772438,이화동,956348,1953210,법정동 좌표
2018,서울특별시,종로구,창신1동,9,7,0,2,1,6,27,12989,5760,7229,12052,0,0,0,6,0,창신1동,127.0163636,37.5707652,창신1동,957291,1952487,행정동 좌표
2018,서울특별시,종로구,창신2동,8,7,1,0,0,0,6,1349,1170,179,264,0,0,0,0,0,창신2동,127.0107551,37.5745657,창신2동,956798,1952911,행정동 좌표
2018,서울특별시,종로구,창신3동,6,4,0,2,1,1,106,30028,26511,3517,19777,0,0,0,1,1,창신3동,127.0150473,37.5778814,창신3동,957179,1953277,행정동 좌표
2018,서울특별시,종로구,숭인1동,5,3,0,2,0,1,57,44806,28395,16411,233621,0,0,0,2,0,숭인1동,127.0156358,37.5778953,숭인1동,957231,1953278,행정동 좌표
2018,서울특별시,종로구,숭인2동,14,13,0,1,0,0,21,20999,7271,13728,159656,0,0,0,0,0,숭인2동,127.02,37.5748861,숭인2동,957615,1952942,행정동 좌표
