사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,하이브리드(휘발유+전기),하이브리드(경유+전기),하이브리드(LPG+전기),하이브리드(CNG+전기),수소,기타연료
서울특별시 종로구 청운동,800,220,259,32,4,1,243,0,38,0,1,0,0,2
서울특별시 종로구 신교동,383,87,141,28,3,0,111,0,13,0,0,0,0,0
서울특별시 종로구 궁정동,47,10,16,1,0,0,14,0,6,0,0,0,0,0
서울특별시 종로구 효자동,175,55,68,4,1,0,39,0,8,0,0,0,0,0
서울특별시 종로구 창성동,165,41,66,4,1,0,46,0,7,0,0,0,0,0
서울특별시 종로구 통의동,139,29,51,8,0,0,44,0,7,0,0,0,0,0
서울특별시 종로구 적선동,164,39,73,5,0,0,41,0,6,0,0,0,0,0
서울특별시 종로구 통인동,188,49,56,12,0,0,63,0,8,0,0,0,0,0
서울특별시 종로구 누상동,787,179,259,67,3,0,244,0,30,0,0,0,2,3
서울특별시 종로구 누하동,201,42,84,14,0,0,55,0,6,0,0,0,0,0
서울특별시 종로구 옥인동,649,141,203,34,6,0,227,0,21,0,0,0,0,17
서울특별시 종로구 체부동,163,34,53,9,1,0,56,0,9,0,0,0,1,0
서울특별시 종로구 필운동,306,64,106,11,2,0,112,0,10,0,0,0,0,1
서울특별시 종로구 내자동,3297,130,1845,3,6,0,1245,0,56,0,2,0,5,5
서울특별시 종로구 사직동,1043,322,293,34,7,1,329,0,54,1,0,0,2,0
서울특별시 종로구 도렴동,124,22,32,0,0,0,62,0,5,0,2,0,0,1
서울특별시 종로구 당주동,301,75,98,9,0,0,105,0,9,0,0,0,0,5
서울특별시 종로구 내수동,1183,384,305,18,8,2,350,0,61,1,0,0,1,53
서울특별시 종로구 세종로,375,53,133,3,11,0,139,0,22,0,1,0,13,0
서울특별시 종로구 신문로1가,834,127,310,16,9,0,325,1,46,0,0,0,0,0
서울특별시 종로구 신문로2가,460,77,249,14,3,0,100,0,17,0,0,0,0,0
서울특별시 종로구 청진동,238,79,47,4,1,0,99,0,8,0,0,0,0,0
서울특별시 종로구 서린동,295,22,157,6,4,0,91,0,9,0,3,0,2,1
서울특별시 종로구 수송동,728,108,339,13,28,0,168,25,27,0,2,0,2,16
서울특별시 종로구 중학동,58,16,21,0,0,0,18,0,2,1,0,0,0,0
서울특별시 종로구 종로1가,293,55,134,17,0,0,80,0,7,0,0,0,0,0
서울특별시 종로구 공평동,149,50,33,0,3,0,56,0,6,0,0,0,1,0
서울특별시 종로구 관훈동,187,44,99,6,1,0,31,0,4,0,0,0,1,1
서울특별시 종로구 견지동,227,76,69,5,1,0,64,1,11,0,0,0,0,0
서울특별시 종로구 와룡동,87,20,39,2,1,0,22,0,3,0,0,0,0,0
서울특별시 종로구 권농동,69,16,16,11,2,0,22,0,2,0,0,0,0,0
