NO,K,lon,lat
1,1,127.0785766,37.49946173
2,2,127.0559692,37.68685877
3,2,127.0785766,37.49946173
4,3,127.0559692,37.68685877
5,3,126.9339614,37.47361931
6,3,127.0785766,37.49946173
7,4,127.0559692,37.68685877
8,4,126.9339614,37.47361931
9,4,126.8475203,37.52995871
10,4,127.0785766,37.49946173
11,5,127.0559692,37.68685877
12,5,126.9339614,37.47361931
13,5,126.8475203,37.52995871
14,5,127.0785766,37.49946173
15,5,126.8608626,37.55797338
16,6,127.0559692,37.68685877
17,6,126.9339614,37.47361931
18,6,126.8475203,37.52995871
19,6,127.0785766,37.49946173
20,6,126.8608626,37.55797338
21,6,127.058973,37.56248502
22,7,127.0559692,37.68685877
23,7,126.9339614,37.47361931
24,7,126.8475203,37.52995871
25,7,126.8270683,37.53885739
26,7,127.0785766,37.49946173
27,7,126.8608626,37.55797338
28,7,127.058973,37.56248502
29,8,127.0559692,37.68685877
30,8,126.9339614,37.47361931
31,8,126.8475203,37.52995871
32,8,126.8270683,37.53885739
33,8,127.0785766,37.49946173
34,8,126.8164535,37.58566613
35,8,126.8608626,37.55797338
36,8,127.058973,37.56248502
37,9,127.0559692,37.68685877
38,9,126.9339614,37.47361931
39,9,126.8475203,37.52995871
40,9,126.8270683,37.53885739
41,9,126.9531867,37.47370984
42,9,127.0785766,37.49946173
43,9,126.8164535,37.58566613
44,9,126.8608626,37.55797338
45,9,127.058973,37.56248502
46,10,127.0559692,37.68685877
47,10,126.9339614,37.47361931
48,10,126.8475203,37.52995871
49,10,126.8270683,37.53885739
50,10,126.9531867,37.47370984
51,10,126.8602541,37.49667843
52,10,127.0785766,37.49946173
53,10,126.8164535,37.58566613
54,10,126.8608626,37.55797338
55,10,127.058973,37.56248502
56,11,127.0559692,37.68685877
57,11,126.9339614,37.47361931
58,11,126.8475203,37.52995871
59,11,126.8270683,37.53885739
60,11,126.9531867,37.47370984
61,11,126.8602541,37.49667843
62,11,126.8316682,37.53077141
63,11,127.0785766,37.49946173
64,11,126.8164535,37.58566613
65,11,126.8608626,37.55797338
66,11,127.058973,37.56248502
67,12,127.0559692,37.68685877
68,12,126.9339614,37.47361931
69,12,126.8475203,37.52995871
70,12,126.8270683,37.53885739
71,12,126.9531867,37.47370984
72,12,126.8602541,37.49667843
73,12,126.8316682,37.53077141
74,12,126.8374145,37.52088897
75,12,127.0785766,37.49946173
76,12,126.8164535,37.58566613
77,12,126.8608626,37.55797338
78,12,127.058973,37.56248502
79,13,127.0559692,37.68685877
80,13,126.9339614,37.47361931
81,13,126.8475203,37.52995871
82,13,126.8270683,37.53885739
