NO,K,lon,lat,시,구,도로명주소,id,
1,1,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,1,3003
2,2,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,2,3002
3,2,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,3,3001
4,3,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,4,3000
5,3,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,5,2999
6,3,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,6,2998
7,4,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,7,2997
8,4,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,8,2996
9,4,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,9,2995
10,4,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,10,2994
11,5,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,11,2993
12,5,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,12,2992
13,5,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,13,2991
14,5,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,14,2990
15,5,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,15,2989
16,6,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,16,2988
17,6,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,17,2987
18,6,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,18,2986
19,6,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,19,2985
20,6,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,20,2984
21,6,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,21,2983
22,7,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,22,2982
23,7,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,23,2981
24,7,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,24,2980
25,7,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,25,2979
26,7,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,26,2978
27,7,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,27,2977
28,7,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,28,2976
29,8,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,29,2975
30,8,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,30,2974
31,8,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,31,2973
32,8,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,32,2972
33,8,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,33,2971
34,8,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,34,2970
35,8,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,35,2969
36,8,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,36,2968
37,9,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,37,2967
38,9,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,38,2966
39,9,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,39,2965
40,9,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,40,2964
41,9,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,41,2963
42,9,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,42,2962
43,9,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,43,2961
44,9,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,44,2960
45,9,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,45,2959
46,10,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,46,2958
47,10,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,47,2957
48,10,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,48,2956
49,10,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,49,2955
50,10,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,50,2954
51,10,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,51,2953
52,10,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,52,2952
53,10,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,53,2951
54,10,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,54,2950
55,10,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,55,2949
56,11,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,56,2948
57,11,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,57,2947
58,11,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,58,2946
59,11,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,59,2945
60,11,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,60,2944
61,11,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,61,2943
62,11,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,62,2942
63,11,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,63,2941
64,11,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,64,2940
65,11,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,65,2939
66,11,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,66,2938
67,12,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,67,2937
68,12,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,68,2936
69,12,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,69,2935
70,12,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,70,2934
71,12,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,71,2933
72,12,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,72,2932
73,12,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,73,2931
74,12,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,74,2930
75,12,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,75,2929
76,12,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,76,2928
77,12,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,77,2927
78,12,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,78,2926
79,13,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,79,2925
80,13,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,80,2924
81,13,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,81,2923
82,13,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,82,2922
83,13,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,83,2921
84,13,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,84,2920
85,13,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,85,2919
86,13,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,86,2918
87,13,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,87,2917
88,13,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,88,2916
89,13,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,89,2915
90,13,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,90,2914
91,13,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,91,2913
92,14,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,92,2912
93,14,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,93,2911
94,14,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,94,2910
95,14,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,95,2909
96,14,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,96,2908
97,14,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,97,2907
98,14,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,98,2906
99,14,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,99,2905
100,14,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,100,2904
101,14,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,101,2903
102,14,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,102,2902
103,14,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,103,2901
104,14,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,104,2900
105,14,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,105,2899
106,15,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,106,2898
107,15,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,107,2897
108,15,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,108,2896
109,15,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,109,2895
110,15,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,110,2894
111,15,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,111,2893
112,15,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,112,2892
113,15,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,113,2891
114,15,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,114,2890
115,15,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,115,2889
116,15,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,116,2888
117,15,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,117,2887
118,15,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,118,2886
119,15,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,119,2885
120,15,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,120,2884
121,16,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,121,2883
122,16,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,122,2882
