공급방식,충전소명,시,구,주소,경도,위도,CLSS
수소,강동구 상일동 수소충전소,서울특별시,강동구,서울 강동구 상일동 443-9,127.1705228,37.5452509,정좌표
수소,서울특별시 상암수소스테이션,서울특별시,마포구,서울 마포구 하늘공원로 86,126.8810342,37.571335,정좌표
수소,현대자동차㈜ 양재그린에너지스테이션,서울특별시,서초구,서울 서초구 바우뫼로12길 73,127.03445,37.4683032,정좌표
수소,수소에너지네트워크(주) 국회 수소충전소,서울특별시,영등포구,서울 영등포구 의사당대로 1,126.9165367,37.530516,정좌표
LPG,강남복지충전소,서울특별시,강남구,서울 강남구 자곡동 373-1 (1층),127.1054946,37.4763862,정좌표
LPG,(주)진양가스,서울특별시,강남구,서울 강남구 도곡동 552-4,127.035691,37.4904973,정좌표
LPG,대치에너지주식회사,서울특별시,강남구,서울 강남구 대치동 27-15,127.0781008,37.4993418,정좌표
LPG,남서울가스(주),서울특별시,강남구,서울 강남구 대치동 21-1,127.0755638,37.4977992,정좌표
LPG,(주)수서에너지,서울특별시,강남구,서울 강남구 자곡동 204-1.3,127.1132277,37.4811931,인근좌표
LPG,암사충전소,서울특별시,강동구,서울 강동구 암사동 503-30,127.1277832,37.5518269,정좌표
LPG,복지상일충전소,서울특별시,강동구,"서울 강동구 상일동 443-5, 7 ",127.1699368,37.5450305,정좌표
LPG,(주)경기에너지,서울특별시,강동구,서울 강동구 성내동 19-1,127.1289795,37.5365449,정좌표
LPG,복지둔촌충전소,서울특별시,강동구,서울 강동구 둔촌동 115-1,127.1465229,37.5251936,정좌표
LPG,(주)청학에너지,서울특별시,강북구,서울 강북구 번3동 267,127.043997,37.628235,정좌표
LPG,서울와사공업(주),서울특별시,강북구,서울 강북구 번1동 446-31.32.33,127.0281019,37.6361063,인근좌표
LPG,국제가스공업(주),서울특별시,강북구,서울 강북구 수유1동 48-23,127.0218713,37.6343068,정좌표
LPG, (주)삼표에너지 김포충전소 ,서울특별시,강서구,서울 강서구 오쇠동 150-5,126.798196,37.5380658,정좌표
LPG,강서가스충전소,서울특별시,강서구,서울 강서구 오곡동 593-2외 1필지,126.7689748,37.5549293,정좌표
LPG,대양가스충전소,서울특별시,강서구,"서울 강서구 가양동 449-13,14 ",126.8607405,37.5584815,정좌표
LPG,오곡동충전소,서울특별시,강서구,"서울 강서구 오곡동 699-14,15,16 ",126.7682248,37.5558045,정좌표
LPG,공항로충전소,서울특별시,강서구,서울 강서구 등촌동 534-12외 6필지,126.8583819,37.5535751,정좌표
LPG,대흥에너지산업(주),서울특별시,강서구,"서울 강서구 화곡동 898-3,4,10,11 ",126.8473231,37.530167,정좌표
LPG,한경에너지,서울특별시,강서구,서울 강서구 개화동 215-6 LPG 충전소,126.7991656,37.587641,정좌표
LPG,활주로충전소,서울특별시,강서구,서울 강서구 외발산동 384-2,126.8172554,37.5420516,정좌표
LPG,복지개화충전소,서울특별시,강서구,서울 강서구 개화동 509-4,126.8015717,37.5752764,정좌표
LPG,복지마곡충전소,서울특별시,강서구,서울 강서구 마곡동 마곡지구(Q2),126.8302094,37.5747888,법정동 좌표
LPG, 대영가스 충전소 ,서울특별시,강서구,서울 강서구 마곡동 761-2 (A동(충전소사무동)),126.8176643,37.5706092,인근좌표
LPG,방화동LPG충전소,서울특별시,강서구,서울 강서구 방화동 45-9,126.8166975,37.5852051,정좌표
LPG,신림충전소,서울특별시,관악구,서울 관악구 서림동 112-46,126.9343062,37.4735606,정좌표
LPG,명화가스(주),서울특별시,관악구,서울 관악구 낙성대동 1594-8,126.9534667,37.4737228,정좌표
LPG,해양가스,서울특별시,광진구,"서울 광진구 자양동 628-19호,29호,30호 ",127.0836974,37.5346254,정좌표
LPG,중곡동충전소,서울특별시,광진구,서울 광진구 중곡동 611-7,127.0737196,37.5600832,정좌표
LPG,한양에너지(주),서울특별시,광진구,서울 광진구 중곡동 237-8,127.0766248,37.5649626,정좌표
LPG,오승프라임산업(주),서울특별시,구로구,서울 구로구 궁동 1-16  LPG충전소,126.8291305,37.5069937,정좌표
LPG,대성산업(주)오류동충전소,서울특별시,구로구,서울 구로구 오류동 74-8,126.8380262,37.4927551,정좌표
LPG,동일석유(주)남부충전소,서울특별시,구로구,서울 구로구 구로3동 1123-2,126.9020644,37.4842941,정좌표
LPG,한일가스산업(주),서울특별시,구로구,서울 구로구 구로동 600-6,126.8773807,37.5017045,정좌표
LPG,개봉충전소,서울특별시,구로구,서울 구로구 개봉동 175-16,126.8605976,37.496471,정좌표
LPG, (주)중앙에너비스 삼중가스지점 ,서울특별시,금천구,서울 금천구 독산2동 1059,126.8983235,37.4618413,정좌표
LPG,신성에너지주식회사,서울특별시,노원구,서울 노원구 공릉동 711-1,127.0708469,37.6291162,정좌표
LPG,(주)노일가스,서울특별시,노원구,서울 노원구 상계1동 1034-1,127.0555723,37.6714154,정좌표
LPG,(주)평안에너지상계충전소,서울특별시,노원구,서울 노원구 중계3동 515-5,127.0670603,37.6492695,정좌표
LPG,복지공릉충전소,서울특별시,노원구,서울 노원구 공릉동 26-69,127.1096563,37.6389574,정좌표
LPG,태능가스(주),서울특별시,노원구,서울 노원구 공릉동 690-11,127.0725159,37.6169744,정좌표
LPG,복지노원충전소,서울특별시,노원구,서울 노원구 상계동 1205-4,127.0558494,37.6871135,정좌표
LPG,동원가스충전소,서울특별시,도봉구,서울 도봉구 창2동 643-2,127.0325618,37.6442972,정좌표
LPG, 케이와이에너지 (주)한영충전소 ,서울특별시,도봉구,서울 도봉구 쌍문2동 715-1,127.041361,37.6605696,정좌표
LPG, (주)평안에너지 도봉충전소 ,서울특별시,도봉구,서울 도봉구 도봉동 376,127.0443883,37.6923012,정좌표
LPG,복지장안충전소,서울특별시,동대문구,서울 동대문구 답십리동 1-427,127.0673296,37.5760174,정좌표
LPG,수도에너지(주)동서울충전소,서울특별시,동대문구,서울 동대문구 휘경동 267-10,127.0594263,37.5896145,정좌표
LPG,(주)홍릉가스충전소,서울특별시,동대문구,서울 동대문구 청량리2동 205-776,127.0412907,37.5910724,정좌표
LPG,장안동가스충전소,서울특별시,동대문구,"서울 동대문구 장안동 413-6,7,9 ",127.0587319,37.5629291,정좌표
LPG,동일석유(주)동주충전소,서울특별시,동작구,서울 동작구 대방동 334,126.9288376,37.4994702,정좌표
LPG,연일가스산업(주),서울특별시,서대문구,서울 서대문구 북가좌1동 392-27,126.9063574,37.5736537,정좌표
LPG,테스트업소,서울특별시,서대문구,서울 서대문구 충정로 53유원골든타워오피스텔10층1002 (충정로2가) 139,126.9646482,37.5637544,정좌표
LPG,(주)에이치앤디이-서울만남의광장,서울특별시,서초구,서울 서초구 원지동 10-16,127.042163,37.4600853,정좌표
LPG,서초충전소,서울특별시,서초구,서울 서초구 방배동 623-5,126.9953379,37.4732032,정좌표
LPG,수도석유(주)방배충전소,서울특별시,서초구,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),126.9821327,37.4790732,정좌표
LPG,(주)영동가스,서울특별시,서초구,서울 서초구 잠원동 55-6,127.0118298,37.5188993,정좌표
LPG,대성산업(주)동부충전소,서울특별시,성동구,서울 성동구 성수동2가 284-108,127.0523129,37.5505064,정좌표
LPG,서울숲충전소,서울특별시,성동구,서울 성동구 성수동1가 656-1119,127.044922,37.548789,정좌표
LPG,우일에너지(주),서울특별시,성북구,서울 성북구 하월곡1동 88-681,127.0168312,37.5894385,시군구 좌표
LPG,(주)장위가스,서울특별시,성북구,서울 성북구 장위3동 44-3,127.0605887,37.613339,정좌표
LPG,잠실복지충전소,서울특별시,송파구,서울 송파구 잠실동 336-9,127.0869831,37.5036277,정좌표
LPG,오금가스충전소,서울특별시,송파구,서울 송파구 오금동 31-4,127.1316618,37.5062352,정좌표
LPG,홍익에너지(주),서울특별시,송파구,서울 송파구 석촌동 183-1,127.1036342,37.5081343,정좌표
LPG, MG새마을금고 송파충전소 ,서울특별시,송파구,서울 송파구 장지동 544-3,127.1313721,37.4755881,정좌표
LPG,복지신정충전소,서울특별시,양천구,서울 양천구 신정동 162-15외 5필지,126.8712004,37.5073131,정좌표
LPG,수도에너지(주),서울특별시,양천구,서울 양천구 신정동 813-17,126.8390716,37.5070378,정좌표
LPG,(주)대흥가스,서울특별시,양천구,서울 양천구 신월1동 131-7,126.8319784,37.5310885,정좌표
LPG,비케이서비스산업(주),서울특별시,양천구,서울 양천구 신월동 53-1 LPG충전소,126.8266272,37.5390095,정좌표
LPG,(주)남양가스,서울특별시,양천구,서울 양천구 신월7동 998-4,126.837221,37.5206162,정좌표
LPG,목동충전소,서울특별시,양천구,서울 양천구 신정4동 994-4,126.8640918,37.5255901,정좌표
LPG,(주)세지,서울특별시,영등포구,서울 영등포구 문래동6가 1-3,126.8884901,37.5174966,정좌표
