NO,우선순위,K,lon,lat,id,시,구,도로명주소
1,1,1,127.0589677,37.56338635,3003,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
2,1,2,127.0589677,37.56338635,3002,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
3,2,2,126.8608626,37.55797338,3001,서울특별시,강서구,서울특별시 강서구 양천로 556
4,1,3,127.0785766,37.49946173,3000,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
5,2,3,127.0589677,37.56338635,2999,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
6,3,3,126.8608626,37.55797338,2998,서울특별시,강서구,서울특별시 강서구 양천로 556
7,1,4,127.0785766,37.49946173,2997,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
8,2,4,126.9060274,37.57353209,2996,서울특별시,서대문구,서울특별시 서대문구 수색로 123
9,3,4,127.0589677,37.56338635,2995,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
10,4,4,126.8608626,37.55797338,2994,서울특별시,강서구,서울특별시 강서구 양천로 556
11,1,5,127.1034226,37.50766,2993,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
12,2,5,127.0785766,37.49946173,2992,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
13,3,5,126.9060274,37.57353209,2991,서울특별시,서대문구,서울특별시 서대문구 수색로 123
14,4,5,127.0589677,37.56338635,2990,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
15,5,5,126.8608626,37.55797338,2989,서울특별시,강서구,서울특별시 강서구 양천로 556
16,1,6,127.1034226,37.50766,2988,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
17,2,6,127.0785766,37.49946173,2987,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
18,3,6,126.9060274,37.57353209,2986,서울특별시,서대문구,서울특별시 서대문구 수색로 123
19,4,6,127.0589677,37.56338635,2985,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
20,5,6,126.8608626,37.55797338,2984,서울특별시,강서구,서울특별시 강서구 양천로 556
21,6,6,126.8771851,37.50127567,2983,서울특별시,구로구,서울특별시 구로구 경인로 531
22,1,7,127.1034226,37.50766,2982,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
23,2,7,127.0785766,37.49946173,2981,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
24,3,7,126.9060274,37.57353209,2980,서울특별시,서대문구,서울특별시 서대문구 수색로 123
25,4,7,127.0589677,37.56338635,2979,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
26,5,7,126.8608626,37.55797338,2978,서울특별시,강서구,서울특별시 강서구 양천로 556
27,6,7,126.9022103,37.48427922,2977,서울특별시,구로구,서울특별시 구로구 시흥대로 573
28,7,7,126.8771851,37.50127567,2976,서울특별시,구로구,서울특별시 구로구 경인로 531
29,1,8,127.1034226,37.50766,2975,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
