,지번주소,위도,경도
0,서울특별시 성북구 하월곡동 46-20,37.6021293,127.0391851
1,서울특별시 성북구 하월곡동 46-21,37.6019884,127.0393560
2,서울특별시 성북구 하월곡동 46-22,37.6018558,127.0395192
3,서울특별시 성북구 하월곡동 46-23,37.6017753,127.0396339
4,서울특별시 성북구 하월곡동 46-24,37.6016507,127.0398170
5,서울특별시 성북구 하월곡동 46-25,37.6015518,127.0399492
6,서울특별시 성북구 하월곡동 46-26,37.6014834,127.0400821
7,서울특별시 성북구 하월곡동 46-27,37.6013832,127.0402060
8,서울특별시 성북구 하월곡동 46-28,37.6009760,127.0406376
9,서울특별시 성북구 하월곡동 46-40,37.6011741,127.0408662
10,서울특별시 성북구 하월곡동 46-59,37.6026187,127.0400404
11,서울특별시 성북구 하월곡동 46-80,37.6027578,127.0392604
12,서울특별시 성북구 하월곡동 46-103,37.6010545,127.0408161
13,서울특별시 성북구 하월곡동 46-104,37.6009064,127.0407159
14,서울특별시 성북구 하월곡동 46-106,37.6019547,127.0395501
15,서울특별시 성북구 하월곡동 46-108,37.6021528,127.0392115
16,서울특별시 성북구 하월곡동 46-109,37.6020267,127.0393724
17,서울특별시 성북구 하월곡동 46-110,37.6018796,127.0395555
18,서울특별시 성북구 하월곡동 46-111,37.6017951,127.0396781
19,서울특별시 성북구 하월곡동 46-112,37.6016734,127.0398562
20,서울특별시 성북구 하월곡동 46-113,37.6015764,127.0399903
21,서울특별시 성북구 하월곡동 46-116,37.6011198,127.0405272
22,서울특별시 성북구 하월곡동 46-122,37.6028265,127.0399324
23,서울특별시 성북구 하월곡동 46-123,37.6029289,127.0398422
24,서울특별시 성북구 하월곡동 46-124,37.6028247,127.0399122
25,서울특별시 성북구 하월곡동 46-126,37.6016796,127.0399785
26,서울특별시 성북구 하월곡동 47-31,37.6032295,127.0392886
27,서울특별시 성북구 하월곡동 47-33,37.6030064,127.0393827
28,서울특별시 성북구 하월곡동 47-35,37.6030381,127.0391567
29,서울특별시 성북구 하월곡동 47-59,37.6030568,127.0395492
30,서울특별시 성북구 하월곡동 48-56,37.6032222,127.0401559
31,서울특별시 성북구 하월곡동 50-2,37.6042156,127.0394828
32,서울특별시 성북구 하월곡동 50-4,37.6039209,127.0398024
33,서울특별시 성북구 하월곡동 50-15,37.6041631,127.0397656
34,서울특별시 성북구 하월곡동 50-16,37.6042040,127.0396187
35,서울특별시 성북구 하월곡동 51-3,37.6042792,127.0398574
36,서울특별시 성북구 하월곡동 51-17,37.6042149,127.0398787
37,서울특별시 성북구 하월곡동 51-26,37.6043875,127.0398016
38,서울특별시 성북구 하월곡동 51-32,37.6042548,127.0396445
39,서울특별시 성북구 하월곡동 51-37,37.6044771,127.0394137
40,서울특별시 성북구 하월곡동 51-38,37.6046139,127.0395382
41,서울특별시 성북구 하월곡동 51-40,37.6044050,127.0393869
42,서울특별시 성북구 하월곡동 51-46,37.6043200,127.0399248
43,서울특별시 성북구 하월곡동 52-39,37.6043217,127.0405164
44,서울특별시 성북구 하월곡동 52-40,37.6047204,127.0397184
45,서울특별시 성북구 하월곡동 52-45,37.6040847,127.0405505
46,서울특별시 성북구 하월곡동 53-20,37.6052254,127.0401642
47,서울특별시 성북구 하월곡동 53-25,37.6058373,127.0403369
48,서울특별시 성북구 하월곡동 59-22,37.6058441,127.0370991
49,서울특별시 성북구 하월곡동 59-23,37.6054252,127.0383010
50,서울특별시 성북구 하월곡동 59-24,37.6051349,127.0386957
51,서울특별시 성북구 하월곡동 59-25,37.6048873,127.0389526
52,서울특별시 성북구 하월곡동 59-26,37.6049400,127.0388989
53,서울특별시 성북구 하월곡동 59-27,37.6058943,127.0370380
54,서울특별시 성북구 하월곡동 60-31,37.6050595,127.0376852
55,서울특별시 성북구 하월곡동 60-32,37.6050396,127.0377011
56,서울특별시 성북구 하월곡동 60-33,37.6047468,127.0374153
57,서울특별시 성북구 하월곡동 60-34,37.6047220,127.0374238
58,서울특별시 성북구 하월곡동 60-39,37.6045626,127.0385253
59,서울특별시 성북구 하월곡동 60-70,37.6052673,127.0377948
60,서울특별시 성북구 하월곡동 60-121,37.6047394,127.0381100
61,서울특별시 성북구 하월곡동 60-127,37.6048391,127.0380728
62,서울특별시 성북구 하월곡동 60-141,37.6047404,127.0378812
63,서울특별시 성북구 하월곡동 60-152,37.6049716,127.0372023
64,서울특별시 성북구 하월곡동 60-173,37.6049277,127.0372256
65,서울특별시 성북구 하월곡동 60-176,37.6047710,127.0384273
66,서울특별시 성북구 하월곡동 60-177,37.6047041,127.0383685
67,서울특별시 성북구 하월곡동 60-182,37.6051485,127.0371932
68,서울특별시 성북구 하월곡동 60-189,37.6046076,127.0373804
69,서울특별시 성북구 하월곡동 60-190,37.6045109,127.0374311
70,서울특별시 성북구 하월곡동 61-3,37.6043053,127.0390199
71,서울특별시 성북구 하월곡동 61-7,37.6046819,127.0391385
72,서울특별시 성북구 하월곡동 61-10,37.6045525,127.0392705
73,서울특별시 성북구 하월곡동 61-11,37.6046485,127.0391469
74,서울특별시 성북구 하월곡동 62-8,37.6043950,127.0374233
75,서울특별시 성북구 하월곡동 62-12,37.6041275,127.0375767
76,서울특별시 성북구 하월곡동 62-19,37.6039585,127.0382631
77,서울특별시 성북구 하월곡동 62-20,37.6039814,127.0383641
78,서울특별시 성북구 하월곡동 62-21,37.6041880,127.0390352
79,서울특별시 성북구 하월곡동 62-23,37.6041571,127.0376205
80,서울특별시 성북구 하월곡동 62-25,37.6039336,127.0378201
81,서울특별시 성북구 하월곡동 62-26,37.6043984,127.0374798
82,서울특별시 성북구 하월곡동 62-27,37.6043665,127.0374684
83,서울특별시 성북구 하월곡동 63-6,37.6039842,127.0385734
84,서울특별시 성북구 하월곡동 64-7,37.6025556,127.0389429
85,서울특별시 성북구 하월곡동 67-1,37.6035947,127.0374464
86,서울특별시 성북구 하월곡동 67-17,37.6035740,127.0377541
87,서울특별시 성북구 하월곡동 67-21,37.6034046,127.0378589
88,서울특별시 성북구 하월곡동 67-24,37.6032678,127.0380240
89,서울특별시 성북구 하월곡동 67-32,37.6032291,127.0379776
90,서울특별시 성북구 하월곡동 67-35,37.6034717,127.0373358
91,서울특별시 성북구 하월곡동 67-36,37.6035406,127.0375358
92,서울특별시 성북구 하월곡동 67-38,37.6033601,127.0374198
93,서울특별시 성북구 하월곡동 67-54,37.6033353,127.0355562
94,서울특별시 성북구 하월곡동 67-55,37.6031866,127.0339051
95,서울특별시 성북구 하월곡동 67-58,37.6029811,127.0341372
96,서울특별시 성북구 하월곡동 67-67,37.6029613,127.0339348
97,서울특별시 성북구 하월곡동 67-76,37.6029164,127.0352509
98,서울특별시 성북구 하월곡동 67-77,37.6027897,127.0353914
99,서울특별시 성북구 하월곡동 67-80,37.6026887,127.0360455
100,서울특별시 성북구 하월곡동 67-81,37.6026820,127.0360707
101,서울특별시 성북구 하월곡동 67-83,37.6028666,127.0358572
102,서울특별시 성북구 하월곡동 67-85,37.6027935,127.0363842
103,서울특별시 성북구 하월곡동 67-90,37.6029866,127.0367729
104,서울특별시 성북구 하월곡동 67-97,37.6029193,127.0371183
105,서울특별시 성북구 하월곡동 67-106,37.6027502,127.0379359
106,서울특별시 성북구 하월곡동 67-107,37.6027125,127.0377847
107,서울특별시 성북구 하월곡동 67-108,37.6026159,127.0377261
108,서울특별시 성북구 하월곡동 67-112,37.6026870,127.0369590
109,서울특별시 성북구 하월곡동 67-113,37.6027517,127.0361631
110,서울특별시 성북구 하월곡동 67-114,37.6026721,127.0361920
111,서울특별시 성북구 하월곡동 67-115,37.6026595,127.0365351
112,서울특별시 성북구 하월곡동 67-122,37.6025624,127.0384371
113,서울특별시 성북구 하월곡동 67-123,37.6024835,127.0383177
114,서울특별시 성북구 하월곡동 67-124,37.6024721,127.0385323
115,서울특별시 성북구 하월곡동 67-125,37.6035531,127.0369624
116,서울특별시 성북구 하월곡동 67-126,37.6027045,127.0382972
117,서울특별시 성북구 하월곡동 67-129,37.6033922,127.0380751
118,서울특별시 성북구 하월곡동 67-135,37.6027918,127.0361017
119,서울특별시 성북구 하월곡동 67-136,37.6029080,127.0339194
120,서울특별시 성북구 하월곡동 67-137,37.6026964,127.0363213
121,서울특별시 성북구 하월곡동 68-1,37.6039015,127.0380021
122,서울특별시 성북구 하월곡동 68-5,37.6038837,127.0377699
123,서울특별시 성북구 하월곡동 69-8,37.6041075,127.0373325
124,서울특별시 성북구 하월곡동 70-44,37.6062659,127.0358659
125,서울특별시 성북구 하월곡동 70-131,37.6067718,127.0360075
126,서울특별시 성북구 하월곡동 70-136,37.6049342,127.0368563
127,서울특별시 성북구 하월곡동 70-146,37.6064970,127.0359159
128,서울특별시 성북구 하월곡동 70-147,37.6064593,127.0359373
129,서울특별시 성북구 하월곡동 70-148,37.6064811,127.0359100
130,서울특별시 성북구 하월곡동 70-149,37.6064833,127.0358957
131,서울특별시 성북구 하월곡동 70-181,37.6044904,127.0369480
132,서울특별시 성북구 하월곡동 70-189,37.6045045,127.0372175
133,서울특별시 성북구 하월곡동 70-190,37.6044820,127.0372310
134,서울특별시 성북구 하월곡동 70-193,37.6053188,127.0369652
135,서울특별시 성북구 하월곡동 70-194,37.6070467,127.0354473
136,서울특별시 성북구 하월곡동 70-206,37.6062427,127.0358552
137,서울특별시 성북구 하월곡동 70-207,37.6063872,127.0359956
138,서울특별시 성북구 하월곡동 70-208,37.6059282,127.0368050
139,서울특별시 성북구 하월곡동 70-209,37.6059055,127.0368092
140,서울특별시 성북구 하월곡동 70-210,37.6058117,127.0368376
141,서울특별시 성북구 하월곡동 70-211,37.6069487,127.0356373
142,서울특별시 성북구 하월곡동 70-212,37.6066983,127.0358063
143,서울특별시 성북구 하월곡동 70-213,37.6068790,127.0363155
144,서울특별시 성북구 하월곡동 70-216,37.6068074,127.0357168
145,서울특별시 성북구 하월곡동 70-217,37.6068784,127.0356765
146,서울특별시 성북구 하월곡동 70-220,37.6048941,127.0365914
147,서울특별시 성북구 하월곡동 71-26,37.6052971,127.0360252
148,서울특별시 성북구 하월곡동 73-1,37.6068274,127.0408477
149,서울특별시 성북구 하월곡동 73-3,37.6068119,127.0404475
150,서울특별시 성북구 하월곡동 73-12,37.6071049,127.0406783
151,서울특별시 성북구 하월곡동 73-40,37.6070826,127.0410128
152,서울특별시 성북구 하월곡동 73-46,37.6064484,127.0406823
153,서울특별시 성북구 하월곡동 73-63,37.6076696,127.0417687
154,서울특별시 성북구 하월곡동 73-64,37.6076180,127.0418364
155,서울특별시 성북구 하월곡동 73-68,37.6073663,127.0412680
156,서울특별시 성북구 하월곡동 73-70,37.6071567,127.0401554
157,서울특별시 성북구 하월곡동 73-84,37.6074209,127.0411408
158,서울특별시 성북구 하월곡동 73-85,37.6072771,127.0409775
159,서울특별시 성북구 하월곡동 73-96,37.6071250,127.0408380
160,서울특별시 성북구 하월곡동 73-101,37.6068156,127.0409100
161,서울특별시 성북구 하월곡동 73-108,37.6073081,127.0409919
162,서울특별시 성북구 하월곡동 73-109,37.6074948,127.0410915
163,서울특별시 성북구 하월곡동 74-10,37.6068882,127.0348291
164,서울특별시 성북구 하월곡동 75-43,37.6080494,127.0354420
165,서울특별시 성북구 하월곡동 75-46,37.6077251,127.0355856
166,서울특별시 성북구 하월곡동 75-49,37.6081198,127.0353804
167,서울특별시 성북구 하월곡동 75-50,37.6081851,127.0353470
168,서울특별시 성북구 하월곡동 76-4,37.6081938,127.0357526
169,서울특별시 성북구 하월곡동 76-15,37.6088252,127.0356616
170,서울특별시 성북구 하월곡동 76-56,37.6078100,127.0359624
171,서울특별시 성북구 하월곡동 76-67,37.6072506,127.0362206
172,서울특별시 성북구 하월곡동 76-68,37.6091479,127.0358001
173,서울특별시 성북구 하월곡동 76-69,37.6089960,127.0358356
174,서울특별시 성북구 하월곡동 76-70,37.6088808,127.0358701
175,서울특별시 성북구 하월곡동 76-71,37.6085370,127.0359810
176,서울특별시 성북구 하월곡동 76-72,37.6084155,127.0360248
177,서울특별시 성북구 하월곡동 76-73,37.6082627,127.0360856
178,서울특별시 성북구 하월곡동 76-74,37.6081954,127.0361078
179,서울특별시 성북구 하월곡동 76-75,37.6066374,127.0365983
180,서울특별시 성북구 하월곡동 76-76,37.6065512,127.0366310
181,서울특별시 성북구 하월곡동 76-77,37.6082603,127.0356045
182,서울특별시 성북구 하월곡동 76-78,37.6071784,127.0361427
183,서울특별시 성북구 하월곡동 76-79,37.6073883,127.0362094
184,서울특별시 성북구 하월곡동 76-82,37.6084490,127.0357444
185,서울특별시 성북구 하월곡동 77-24,37.6127283,127.0374531
186,서울특별시 성북구 하월곡동 77-25,37.6126513,127.0373219
187,서울특별시 성북구 하월곡동 77-33,37.6099955,127.0356219
188,서울특별시 성북구 하월곡동 77-1046,37.6077543,127.0363461
189,서울특별시 성북구 하월곡동 77-1048,37.6057474,127.0373124
190,서울특별시 성북구 하월곡동 77-1049,37.6050963,127.0388066
191,서울특별시 성북구 하월곡동 77-1070,37.6122338,127.0382560
192,서울특별시 성북구 하월곡동 77-1087,37.6113829,127.0357911
193,서울특별시 성북구 하월곡동 77-1088,37.6119477,127.0361299
